,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
"Долг, млрд руб",Селигдар,,,,,,,,,,,,,,5.76,9.86,16.1,13.4,14.2,19.4,24.9,40.7,39.0,50.5
"Наличность, млрд руб",Селигдар,,,,,,,,,,,,,,0.014,0.03,0.317,0.005,0.607,2.38,0.721,3.58,0.65,4.12
"Чистый долг, млрд руб",Селигдар,,,,,,,,,,,,0.0,0.0,5.75,9.83,15.8,13.4,13.6,17.0,24.2,37.1,38.4,46.4
"Цена акции ао, руб",Селигдар,,,,,,,,,,,,,,,,5.01,9.14,9.97,9.95,12.3,45.5,57.7,44.9
"Число акций ао, млн",Селигдар,,,,,,,,,,,,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,737.4,842.4,992.4,992.4
"Цена акции ап, руб",Селигдар,,,,,,,,,,,,,,,,23.7,14.6,18.2,24.1,27.0,40.8,,
"Число акций ап, млн",Селигдар,,,,,,,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,
"Капитализация, млрд руб",Селигдар,,,,,,,,,,,,0.0,0.0,0.0,0.0,7.25,8.93,10.1,10.9,13.1,44.4,57.3,44.5
"EV, млрд руб",Селигдар,,,,,,,,,,,,0.0,0.0,5.75,9.83,23.0,22.3,23.7,28.0,37.3,81.5,95.6,91.0
"Баланс стоимость, млрд руб",Селигдар,,,,,,,,,,,,0.0,0.0,10.6,8.63,7.35,11.6,17.0,17.4,19.5,20.6,28.6,33.8
"EPS, руб",Селигдар,,,,,,,,,,,,0.0,0.0,0.81,-3.07,-1.84,5.02,1.93,0.89,4.34,0.28,10.2,10.5
"FCF/акцию, руб",Селигдар,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-6.33,6.94,-1.42,-16.2
"BV/акцию, руб",Селигдар,,,,,,,,,,,,0.0,0.0,14.3,11.7,9.96,15.8,23.1,23.7,26.5,24.4,28.8,34.1
"Рентаб EBITDA, %",Селигдар,,,,,,,,,,,,,,0.349,0.35700000000000004,0.43799999999999994,0.44799999999999995,0.397,0.40299999999999997,0.426,0.435,0.54,0.39799999999999996
"Чистая рентаб, %",Селигдар,,,,,,,,,,,,,,0.115,-0.414,-0.168,0.32899999999999996,0.122,0.040999999999999995,0.145,0.006999999999999999,0.28300000000000003,0.325
"Доходность FCF, %",Селигдар,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.12,-0.517,0.153,-0.025,-0.361
"ROE, %",Селигдар,,,,,,,,,,,,,,0.057,-0.262,-0.185,0.318,0.084,0.038,0.163,0.012,0.35,0.306
"ROA, %",Селигдар,,,,,,,,,,,,,,,,-0.052000000000000005,0.124,0.032,0.013000000000000001,0.055,0.003,0.11800000000000001,0.094
P/E,Селигдар,,,,,,,,,,,,,,0.0,0.0,-5.34,2.41,7.08,16.7,4.09,185.2,5.68,4.27
P/S,Селигдар,,,,,,,,,,,,,,0.0,0.0,0.9,0.79,0.87,0.69,0.59,1.33,1.61,1.39
P/BV,Селигдар,,,,,,,,,,,,,,0.0,0.0,0.99,0.77,0.59,0.63,0.67,2.16,2.0,1.32
EV/EBITDA,Селигдар,,,,,,,,,,,,,,3.16,5.04,6.49,4.42,5.13,4.37,3.97,5.62,4.97,7.11
Долг/EBITDA,Селигдар,,,,,,,,,,,,,,3.16,5.04,4.45,2.65,2.95,2.66,2.58,2.56,1.99,3.63
"Персонал, чел",Селигдар,,,,,,,,,,,,,,,,,,,,3289.0,3506.0,,
"Производительность труда, млн руб/чел/год",Селигдар,,,,,,,,,,,,,,,,,,,,6.71,9.5,,
"Расходы/чел/год, тыс.р",Селигдар,,,,,,,,,,,,,,,,,,,,1269.0,1612.0,,
"R&D/CAPEX, %",Селигдар,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Селигдар,,,,,,,,,,,,,,0.0,0.0,0.29,0.17,0.0,0.13,0.14,0.13,0.24,0.48
Дата отчета,Совкомфлот,,,,,,,,,,,,,,,,04.06.2018,08.10.2020,04.06.2018,08.10.2020,31.12.2019,15.03.2021,14.03.2022,14.03.2022
Валюта отчета,Совкомфлот,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,90.9,93.1,83.8,95.6,107.7,118.4,113.5,113.5
"Операционная прибыль, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,,23.3,9.6,12.0,28.3,34.8,17.0,17.0
"EBITDA, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,48.0,47.2,31.8,40.3,50.9,65.9,50.0,50.0
"Чистая прибыль, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,20.9,13.5,-6.4,-2.39,14.4,21.7,4.55,4.55
"Чистая прибыль н/с, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,74.2,-26.6,-15.3,,,18.8,3.32,4.56
"Операционный денежный поток, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,,49.9,31.9,34.8,51.4,66.2,44.4,44.4
"CAPEX, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,35.4,47.4,36.1,25.7,27.6,31.5,26.6,26.6
"FCF, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,10.7,-8.34,-13.7,0.941,9.63,24.1,16.6,16.6
"Див.выплата, млрд руб",Совкомфлот,,,,,,,,,,,,,,,1.13,5.97,6.14,1.7,1.44,7.18,15.8,,
"Дивиденд, руб/акцию",Совкомфлот,,,,,,,,,,,,,,,0.57,3.037,3.12,0.86,0.73,3.65,6.67,,
"Див доход, ао, %",Совкомфлот,,,,,,,,,,,,,,,,,,,,,0.07400000000000001,0.0,0.0
"Дивиденды/прибыль, %",Совкомфлот,,,,,,,,,,,,,,,,0.29,0.45,0.0,0.0,0.5,0.73,0.0,0.0
"Опер. расходы, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,24.0,53.3,52.1,55.6,53.3,62.1,63.7,63.7
"Себестоимость, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,,16.5,22.0,28.1,25.9,21.6,32.7,32.7
"Расх на персонал, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,15.0,16.2,15.0,15.2,16.1,17.7,18.0,
"Процентные расходы, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,7.27,8.39,10.1,12.6,13.3,12.7,10.8,10.8
"Активы, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,,434.1,423.2,496.2,454.1,572.0,544.1,544.1
"Чистые активы, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,242.0,209.5,188.1,208.8,223.3,294.2,286.6,286.6
"Долг, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,138.7,141.6,149.8,241.6,212.9,172.2,154.7,154.7
"Наличность, млрд руб",Совкомфлот,,,,,,,,,,,,,,,,26.1,28.5,20.0,18.6,23.2,63.7,46.9,46.9
"Чистый долг, млрд руб",Совкомфлот,,,,,,,,,,,,,,,0.0,112.6,113.0,129.8,223.0,189.7,108.5,107.8,107.8
"Цена акции ао, руб",Совкомфлот,,,,,,,,,,,,,,,,,,,,,90.2,73.5,38.4
"Число акций ао, млн",Совкомфлот,,,,,,,,,,,,,,,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,2375.0,2375.0,2375.0
"Free Float, %",Совкомфлот,,,,,,,,,,,,,,,,,,,,,0.156,,
"Капитализация, млрд руб",Совкомфлот,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,214.3,174.5,91.2
"EV, млрд руб",Совкомфлот,,,,,,,,,,,,,,,0.0,112.6,113.0,129.8,223.0,189.7,322.8,282.3,198.9
"Баланс стоимость, млрд руб",Совкомфлот,,,,,,,,,,,,,,,0.0,242.0,209.3,187.6,208.3,222.9,294.0,286.4,286.4
"EPS, руб",Совкомфлот,,,,,,,,,,,,,,,0.0,10.6,6.89,-3.26,-1.22,7.3,9.14,1.92,1.92
"FCF/акцию, руб",Совкомфлот,,,,,,,,,,,,,,,0.0,5.44,-4.24,-6.98,0.48,4.9,10.1,7.0,7.0
"BV/акцию, руб",Совкомфлот,,,,,,,,,,,,,,,0.0,123.1,106.4,95.4,105.9,113.3,123.8,120.6,120.6
"Рентаб EBITDA, %",Совкомфлот,,,,,,,,,,,,,,,,0.528,0.507,0.38,0.42200000000000004,0.473,0.556,0.441,0.441
"Чистая рентаб, %",Совкомфлот,,,,,,,,,,,,,,,,0.23,0.146,-0.076,-0.025,0.133,0.183,0.04,0.04
"Доходность FCF, %",Совкомфлот,,,,,,,,,,,,,,,,,,,,,0.11199999999999999,0.095,0.182
"ROE, %",Совкомфлот,,,,,,,,,,,,,,,,0.086,0.065,-0.034,-0.011000000000000001,0.064,0.07400000000000001,0.016,0.016
"ROA, %",Совкомфлот,,,,,,,,,,,,,,,,,0.031,-0.015,-0.005,0.032,0.038,0.008,0.008
P/E,Совкомфлот,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9.87,38.3,20.0
P/S,Совкомфлот,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.81,1.54,0.8
P/BV,Совкомфлот,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.73,0.61,0.32
EV/EBITDA,Совкомфлот,,,,,,,,,,,,,,,,2.34,2.4,4.08,5.53,3.72,4.9,5.65,3.98
Долг/EBITDA,Совкомфлот,,,,,,,,,,,,,,,,2.34,2.4,4.08,5.53,3.72,1.65,2.16,2.16
"Персонал, чел",Совкомфлот,,,,,,,,,,,,,,,,,,,,,8000.0,,
"Производительность труда, млн руб/чел/год",Совкомфлот,,,,,,,,,,,,,,,,,,,,,14.8,,
"Расходы/чел/год, тыс.р",Совкомфлот,,,,,,,,,,,,,,,,,,,,,2213.0,,
"R&D/CAPEX, %",Совкомфлот,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Совкомфлот,,,,,,,,,,,,,,,,0.39,0.51,0.43,0.27,0.26,0.27,0.23,0.23
Дата отчета,Соллерс,,,,,,,,,,,,,,10.07.2018,10.07.2018,01.07.2018,03.05.2018,03.05.2018,30.04.2019,03.07.2020,30.04.2021,29.04.2022,
Валюта отчета,Соллерс,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,
"Выручка, млрд руб",Соллерс,,,,,,,,,,,,,,61.3,47.9,38.3,35.6,35.8,39.5,57.8,66.0,91.7,
"Операционная прибыль, млрд руб",Соллерс,,,,,,,,,,,,,,,,,,,-1.02,2.34,-0.517,5.35,
"EBITDA, млрд руб",Соллерс,,,,,,,,,,,,,,6.38,4.56,4.01,3.9,3.38,0.47,5.0,2.98,8.55,
"Чистая прибыль, млрд руб",Соллерс,,,,,,,,,,,,,,3.63,-3.74,3.1,1.6,0.989,0.032,0.128,-2.13,2.43,
"Операционный денежный поток, млрд руб",Соллерс,,,,,,,,,,,,,,,,,,,6.24,0.977,-2.0,11.4,
"CAPEX, млрд руб",Соллерс,,,,,,,,,,,,,,,,1.31,1.57,1.26,2.25,1.97,3.42,2.59,
"FCF, млрд руб",Соллерс,,,,,,,,,,,,,,,,,,,4.15,-0.65,-5.13,9.9,
"Див.выплата, млрд руб",Соллерс,,,,,,,,,,,,,,,,,,0.0,,,0.0,,
"Дивиденд, руб/акцию",Соллерс,,,,,,,,,,,,,,,,,,0.0,,,0.0,,
"Див доход, ао, %",Соллерс,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Дивиденды/прибыль, %",Соллерс,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Опер. расходы, млрд руб",Соллерс,,,,,,,,,,,,,,,,,,,6.4,5.92,9.4,9.2,
"Себестоимость, млрд руб",Соллерс,,,,,,,,,,,,,,49.9,39.7,30.4,28.4,28.6,34.1,49.6,57.1,77.2,
"НИОКР, млрд руб",Соллерс,,,,,,,,,,,,,,,,0.27,0.981,2.18,3.2,3.8,4.09,4.96,
"Расх на персонал, млрд руб",Соллерс,,,,,,,,,,,,,,,,7.29,8.67,8.05,7.97,8.35,8.21,8.88,
"Процентные расходы, млрд руб",Соллерс,,,,,,,,,,,,,,,,,0.946,0.708,0.746,1.45,1.22,1.17,
"Активы, млрд руб",Соллерс,,,,,,,,,,,,,,,,,,,50.6,65.0,67.6,72.2,
"Чистые активы, млрд руб",Соллерс,,,,,,,,,,,,,,15.7,12.4,15.9,17.5,18.5,18.6,18.8,16.6,27.7,
"Долг, млрд руб",Соллерс,,,,,,,,,,,,,,9.51,11.9,6.25,7.08,10.8,5.69,7.16,12.3,9.8,
"Наличность, млрд руб",Соллерс,,,,,,,,,,,,,,6.02,6.48,0.711,2.34,2.31,0.226,6.69,9.83,15.3,
"Чистый долг, млрд руб",Соллерс,,,,,,,,,,,,,,3.49,5.43,5.54,4.74,8.49,5.46,0.47,2.47,-5.54,
"Цена акции ао, руб",Соллерс,,,,,,,,,,,,,,,,402.0,535.0,622.0,408.0,277.5,265.5,216.5,
"Число акций ао, млн",Соллерс,,,,,,,,,,,,,,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,
"Капитализация, млрд руб",Соллерс,,,,,,,,,,,,,,0.0,0.0,13.8,18.3,21.3,14.0,9.51,9.1,7.42,
"EV, млрд руб",Соллерс,,,,,,,,,,,,,,3.49,5.43,19.3,23.1,29.8,19.4,9.98,11.6,1.88,
"Баланс стоимость, млрд руб",Соллерс,,,,,,,,,,,,,,15.7,12.4,13.6,14.3,14.4,16.4,14.7,12.9,24.3,
"EPS, руб",Соллерс,,,,,,,,,,,,,,105.8,-109.1,90.5,46.7,28.9,0.93,3.74,-62.2,70.9,
"FCF/акцию, руб",Соллерс,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,121.1,-19.0,-149.7,288.9,
"BV/акцию, руб",Соллерс,,,,,,,,,,,,,,457.9,360.9,397.7,416.4,420.5,477.1,428.0,377.0,708.5,
"Рентаб EBITDA, %",Соллерс,,,,,,,,,,,,,,0.10400000000000001,0.095,0.105,0.11,0.094,0.012,0.086,0.045,0.09300000000000001,
"Чистая рентаб, %",Соллерс,,,,,,,,,,,,,,0.059000000000000004,-0.078,0.081,0.045,0.027999999999999997,0.001,0.002,-0.032,0.026000000000000002,
"Доходность FCF, %",Соллерс,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.297,-0.068,-0.564,1.334,
"ROE, %",Соллерс,,,,,,,,,,,,,,0.231,-0.302,0.195,0.091,0.053,0.002,0.006999999999999999,-0.128,0.08800000000000001,
"ROA, %",Соллерс,,,,,,,,,,,,,,,,,,,0.001,0.002,-0.032,0.034,
P/E,Соллерс,,,,,,,,,,,,,,0.0,0.0,4.44,11.5,21.6,436.9,74.3,-4.27,3.05,
P/S,Соллерс,,,,,,,,,,,,,,0.0,0.0,0.36,0.51,0.6,0.35,0.16,0.14,0.08,
P/BV,Соллерс,,,,,,,,,,,,,,0.0,0.0,1.01,1.28,1.48,0.86,0.65,0.7,0.31,
EV/EBITDA,Соллерс,,,,,,,,,,,,,,0.55,1.19,4.82,5.91,8.82,41.4,2.0,3.88,0.22,
Долг/EBITDA,Соллерс,,,,,,,,,,,,,,0.55,1.19,1.38,1.21,2.51,11.6,0.09,0.83,-0.65,
"R&D/CAPEX, %",Соллерс,,,,,,,,,,,,,,,,0.20670000000000002,0.6248,1.7294,1.4240000000000002,1.9288999999999998,1.1956,1.9150999999999998,
"CAPEX/Выручка, %",Соллерс,,,,,,,,,,,,,,0.0,0.0,0.03,0.04,0.04,0.06,0.03,0.05,0.03,
Дата отчета,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,30.07.2021,30.07.2021,30.07.2021,07.04.2022,07.04.2022
Валюта отчета,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.63,0.715,3.3,7.6,7.6
"Операционная прибыль, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,2.33,5.26,5.26
"EBITDA, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,-0.027,0.006,1.65,0.998,
"Чистая прибыль, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,-0.038,-0.006,1.27,2.58,2.58
"Чистая прибыль н/с, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,1.2,0.017,0.017
"Операционный денежный поток, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,9.47,-0.268,16.4
"CAPEX, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,0.287,0.152,0.152
"FCF, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,9.18,-0.43,-0.43
"Див доход, ао, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Дивиденды/прибыль, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Опер. расходы, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.336,0.355,0.965,2.35,2.35
"Расх на персонал, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,0.51,1.39,1.39
"Процентные расходы, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,0.056,0.077,0.077
"Активы, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,5.18,7.89,18.3,42.3,42.3
"Чистые активы, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,3.04,17.6,17.6
"Наличность, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,11.1,20.3,20.3
"Чистый долг, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,-11.1,-20.3,-20.3
"Цена акции ао, руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,987.1,115.3
"Число акций ао, млн",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,132.8,132.8
"Капитализация, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,131.1,15.3
"EV, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,-11.1,110.8,-5.02
"Баланс стоимость, млрд руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,2.45,17.0,17.0
"EPS, руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,19.4,19.4
"FCF/акцию, руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,-3.24,-3.24
"BV/акцию, руб",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,127.6,127.6
"Рентаб EBITDA, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,-0.043,0.008,0.501,0.131,0.0
"Чистая рентаб, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,-0.06,-0.008,0.385,0.33899999999999997,0.33899999999999997
"Доходность FCF, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,,-0.003,-0.027999999999999997
"ROE, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,0.418,0.147,0.147
"ROA, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,-0.006999999999999999,-0.001,0.069,0.061,0.061
P/E,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,50.9,5.95
P/S,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,17.2,2.01
P/BV,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,0.0,7.73,0.9
EV/EBITDA,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,-6.72,111.0,
Долг/EBITDA,СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,-6.72,-20.4,
"Персонал, чел",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,117.0,141.0,200.0,,
"Производительность труда, млн руб/чел/год",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,5.38,5.07,16.5,,
"Расходы/чел/год, тыс.р",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,2550.0,,
"R&D/CAPEX, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
"CAPEX/Выручка, %",СПб Биржа (SPB),,,,,,,,,,,,,,,,,,,0.0,0.0,0.09,0.02,0.02
Дата отчета,Сургутнефтегаз,,,,,,,,,,,,,,10.07.2018,10.07.2018,01.07.2018,28.04.2018,28.04.2018,30.04.2019,30.04.2020,30.04.2021,,17.08.2021
Валюта отчета,Сургутнефтегаз,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Добыча нефти, млн т",Сургутнефтегаз,,,,,,,,,,,,60.8,61.4,61.5,61.4,61.6,61.8,60.5,60.9,60.8,54.8,,
"Переработка нефти, млн т",Сургутнефтегаз,,,,,,,,,,,,21.1,20.5,19.8,19.3,18.8,18.5,18.2,18.2,,17.8,,
"Добыча газа, млрд м3",Сургутнефтегаз,,,,,,,,,,,,13.0,12.3,12.1,9.45,9.56,9.66,10.0,9.6,9.6,9.1,,
"Выручка, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,837.7,890.6,1274.0,1222.0,1364.0,1867.0,1815.0,1182.0,,1536.0
"EBITDA, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,265.8,237.4,314.6,337.6,338.7,482.0,464.0,249.0,,400.0
"Чистая прибыль, млрд руб",Сургутнефтегаз,,,,,,,,,,142.0,159.0,291.0,195.0,313.0,1068.0,282.6,307.9,313.1,403.0,106.0,743.0,,457.2
"Чистая прибыль н/с, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,,,761.6,-62.0,194.7,850.0,,,,
"CAPEX, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,,,,180.8,160.2,151.0,159.0,171.0,,167.0
"FCF, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,,,22.5,74.8,,,,,,
"Див.выплата, млрд руб",Сургутнефтегаз,,,,,,,,,,24.0,27.0,38.0,29.0,40.0,86.0,75.0,26.1,33.9,81.9,30.7,76.8,65.0,
"Дивиденд, руб/акцию",Сургутнефтегаз,,,,,,,,,,0.45,0.5,0.6,0.5,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.7,0.8,
"Див доход, ао, %",Сургутнефтегаз,,,,,,,,,,0.017,0.016,0.024,0.019,0.021,0.027999999999999997,0.018000000000000002,0.019,0.023,0.024,0.013000000000000001,0.019,0.02,0.0
"Дивиденд ап, руб/акцию",Сургутнефтегаз,,,,,,,,,,1.0488,1.18,2.15,1.48,2.36,8.21,6.92,0.6,1.38,7.62,0.97,6.72,4.73,
"Див доход, ап, %",Сургутнефтегаз,,,,,,,,,,0.07200000000000001,0.075,0.131,0.07400000000000001,0.091,0.278,0.156,0.019,0.049,0.193,0.026000000000000002,0.161,0.12300000000000001,0.0
"Дивиденды/прибыль, %",Сургутнефтегаз,,,,,,,,,,0.17,0.17,0.13,0.15,0.13,0.08,0.27,0.08,0.11,0.2,0.29,0.1,,0.0
"Опер. расходы, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,620.4,727.8,758.6,760.3,902.6,1141.0,1178.0,910.0,,1112.0
"Расх на персонал, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,,,81.2,86.9,98.0,101.5,113.7,120.5,,
"Активы, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,,,4052.0,3922.0,4240.0,5136.0,5268.0,5876.0,,6103.0
"Чистые активы, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,2062.0,2909.0,3582.0,3445.0,3613.0,4426.0,4449.0,5160.0,,5237.0
"Долг, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Наличность, млрд руб",Сургутнефтегаз,,,,,,,,,,,,,,476.3,755.3,2573.0,2288.0,2536.0,3363.0,3363.0,3829.0,,3989.0
"Чистый долг, млрд руб",Сургутнефтегаз,,,,,,,,,,0.0,0.0,0.0,0.0,-476.3,-755.3,-2573.0,-2288.0,-2536.0,-3363.0,-3363.0,-3829.0,0.0,-3989.0
"Цена акции ао, руб",Сургутнефтегаз,,,,,,,,,,26.8,32.2,25.3,26.8,28.4,23.5,34.0,31.0,27.9,26.9,50.5,36.0,39.7,22.4
"Число акций ао, млн",Сургутнефтегаз,,,,,,,,,,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0,35726.0
"Цена акции ап, руб",Сургутнефтегаз,,,,,,,,,,14.6,15.7,16.5,20.0,25.9,29.5,44.2,32.1,28.1,39.4,37.7,41.7,38.4,25.2
"Число акций ап, млн",Сургутнефтегаз,,,,,,,,,,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0,7702.0
"Free Float, %",Сургутнефтегаз,,,,,,,,,,,,,,,,,0.27,0.25,0.25,0.25,,,
"Инсайдерское владение, %",Сургутнефтегаз,,,,,,,,,,,,,,,,0.0034000000000000002,,,,,,,
"Капитализация, млрд руб",Сургутнефтегаз,,,,,,,,,,1071.0,1272.0,1030.0,1111.0,1213.0,1067.0,1554.0,1353.0,1213.0,1264.0,2094.0,1607.0,1715.0,995.6
"EV, млрд руб",Сургутнефтегаз,,,,,,,,,,1071.0,1272.0,1030.0,1111.0,736.4,312.1,-1019.0,-935.5,-1323.0,-2099.0,-1269.0,-2222.0,1715.0,-2993.0
"Баланс стоимость, млрд руб",Сургутнефтегаз,,,,,,,,,,0.0,0.0,0.0,0.0,2062.0,2909.0,3573.0,3436.0,3604.0,4417.0,4440.0,5151.0,0.0,5227.0
"EPS, руб",Сургутнефтегаз,,,,,,,,,,3.97,4.45,8.15,5.46,8.76,29.9,7.91,8.62,8.76,11.3,2.97,20.8,0.0,12.8
"FCF/акцию, руб",Сургутнефтегаз,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2.09,0.0,0.0,0.0,0.0,0.0,0.0
"BV/акцию, руб",Сургутнефтегаз,,,,,,,,,,0.0,0.0,0.0,0.0,57.7,81.4,100.0,96.2,100.9,123.6,124.3,144.2,0.0,146.3
"Рентаб EBITDA, %",Сургутнефтегаз,,,,,,,,,,,,,,0.317,0.267,0.247,0.276,0.248,0.258,0.256,0.21100000000000002,,0.261
"Чистая рентаб, %",Сургутнефтегаз,,,,,,,,,,,,,,0.374,1.199,0.222,0.252,0.22899999999999998,0.21600000000000003,0.057999999999999996,0.629,,0.298
"Доходность FCF, %",Сургутнефтегаз,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.068,0.0,0.0,0.0,0.0,0.0,0.0
"ROE, %",Сургутнефтегаз,,,,,,,,,,,,,,0.152,0.36700000000000005,0.079,0.08900000000000001,0.087,0.091,0.024,0.14400000000000002,,0.087
"ROA, %",Сургутнефтегаз,,,,,,,,,,,,,,,,0.07,0.079,0.07400000000000001,0.078,0.02,0.126,,0.075
P/E,Сургутнефтегаз,,,,,,,,,,7.54,8.0,3.54,5.7,3.87,1.0,5.5,4.39,3.87,3.14,19.8,2.16,,2.18
